,Project Name,Region,Sector,Current Status,Implementing Agency,Project URL,Project Description,Project Cost,Procurement Mode,PPP Structure,Private Proponent,Status,Cooperation Period,,Indicative Cost,Private Proponen,Private Propoent,Original Proponent,Project Proponent,Private Proponent(s),https://www.dpwh.gov.ph/dpwh/PPP/projs/tr4,Private Proponents,Other Implementing Agencies website URL,Concession Period,Private Proponent:,DOTr Website,Implemention Mode
58,Water Supply Facility and Bulk Water Delivery Project,REGION VII - CENTRAL VISAYAS,Water,"Operational,Awarded",Provincial Government of Cebu,https://ppp.gov.ph/ppp_projects/water-supply-facility-and-bulk-water-delivery-project/,,TBD,Unsolicited,Joint Venture (JV) Agreement,Manila Water Consortium,Operational,30 Years  (2012-2042),,,,,,,,,,,,,,
59,Zamboanga City Water District Bulk Water Project,REGION IX - ZAMBOANGA PENINSULA,Water,"Operational,Awarded",Zamboanga City Water District (ZCWD),https://ppp.gov.ph/ppp_projects/zamboanga-city-water-district-bulk-water-project/,,-,Unsolicited,-,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
60,"Financing, Development, Rehabilitation, Expansion, Operation and Maintenance of the Water System of the Municipality of Lemery Batangas",REGION IV-A - CALABARZON,Water,"Operational,Awarded",Lemery Water District,https://ppp.gov.ph/ppp_projects/financing-development-rehabilitation-expansion-operation-and-maintenance-of-the-water-system-of-the-municipality-of-lemery-batangas/,,-,Unsolicited,-,Prime Water Infrastructure Corporation,Operational,-,,,,,,,,,,,,,,
61,"Expansion of Water Lines, Reservoir and Source Water Project",REGION VII - CENTRAL VISAYAS,Water,"Under Pre-Construction,Awarded",Dumaguete City Water District,https://ppp.gov.ph/ppp_projects/expansion-of-water-lines-reservoir-and-source-water-project/,,Php 1.00 Billion,Unsolicited,-,Metro Pacific Water Investments Corp (MPWIC),Under construction,-,,,,,,,,,,,,,,
62,Establishment and Operation of the San Simon Waterworks System,REGION III - CENTRAL LUZON,Water,"Operational,Awarded","Municipality of San Simon, Pampanga",https://ppp.gov.ph/ppp_projects/establishment-and-operation-of-the-san-simon-waterworks-system-2/,,,Unsolicited,-,"Balibago Waterworks System, Inc.",Operational,-,,-,,,,,,,,,,,,
63,Concession Agreement for the Cauayan City Entertainment and Cultural Center,REGION II - CAGAYAN VALLEY,Property Development,"Under Construction,Awarded",Local Government of Cauayan City,https://ppp.gov.ph/ppp_projects/concession-agreement-for-the-cauayan-city-entertainment-and-cultural-center/,,Php 300 Million,Unsolicited,-,Ropali Realty Management and Development Corporation,Under construction,-,,,,,,,,,,,,,,
64,Construction of 30 Units Commercial Stall Under The Build-Lease-Transfer Scheme,REGION I - ILOCOS,Property Development,"Operational,Awarded",Local Government of Bayambang,https://ppp.gov.ph/ppp_projects/construction-of-30-units-commercial-stall/,,Php 19.98 Million,Unsolicited,Build-Lease-Transfer (BLT),Tri Sapphire Blue Sky Commercial Inc,Operational,10 Years (2019-2029),,,,,,,,,,,,,,
65,City of Ilagan Water District Bulk Water Project,REGION II - CAGAYAN VALLEY,Water,"Under Pre-Construction,Awarded",City of Ilagan Water District,https://ppp.gov.ph/ppp_projects/city-of-ilagan-water-district-bulk-water-project/,,Php 876 Million,Unsolicited,,"Filipinas Tubig Holdings, Inc.",Under pre-construction,,,,,,,,,,,,,,,
66,Boracay Water Joint Venture Project,REGION VI - WESTERN VISAYAS,Water and Sanitation,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/boracay-water-joint-venture-project/,,Php 1.467 Billion,Unsolicited,Joint Venture (NEDA JV Guidelines),"Manila Water Company, INc.",Operational,25 years (2009-34),,,,,,,,,,,,,,
67,"Expansion, Operation and Maintenance of Vessel Traffic Services (VTS) in Seven Philippine Ports",REGION IV-A - CALABARZONREGION IV-B - MIMAROPAREGION VI - WESTERN VISAYASREGION X - NORTHERN MINDANAOREGION XI - DAVAOREGION XII - SOCCSKSARGENNATIONAL CAPITAL REGION,Property Development,Unsolicited Proposal Under Initial Evaluation by Implementing Agency,,https://ppp.gov.ph/ppp_projects/expansion-operation-and-maintenance-of-vessel-traffic-services-vts-in-seven-philippine-ports/,,,Unsolicited,,"Harbortech, Inc.",Under initial evaluation by the implementing agency,,,Php 1.448 Billion,,,,,,,,,,,,
68,New Metro Manila Food and Transport Hub Project,NATIONAL CAPITAL REGION,Property Development,For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/new-metro-manila-food-and-transport-hub/,,,Unsolicited,Build-Operate-Transfer (BOT),San Miguel Holdings Corporation,For approval of relevant government bodies,50 years,,Php 25.84,,,,,,,,,,,,
69,Metro Cebu Expressway,REGION VII - CENTRAL VISAYAS,Road,Projects under Development,,https://ppp.gov.ph/ppp_projects/metro-cebu-expressway/,,,Solicited,TBD,,Under development,TBD,,TBD,,,,,,,,,,,,
70,Bicol Medical Center’s Medical Arts Building and Upgrading of Health Services,REGION V - BICOL,Hospitals & Healthcare,Projects under Development,,https://ppp.gov.ph/ppp_projects/bicol-medical-centers-medical-arts-building-and-upgrading-of-health-services/,,,Solicited,TBD,,Under development,TBD,,TBD,,,,,,,,,,,,
71,NEDA sa Makati Property Redevelopment Project,NATIONAL CAPITAL REGION,Property Development,Projects under Development,,https://ppp.gov.ph/ppp_projects/neda-sa-makati-property-redevelopment-project/,,Php 1.28 Billion,Solicited,TBD,,Under development,TBD,,,,,,,,,,,,,,
72,Tuguegarao City Septage Management Project,REGION II - CAGAYAN VALLEY,"Environmental,Water and Sanitation",Unsolicited Projects Under Competitive Challenge,City Government of Tuguegarao,https://ppp.gov.ph/ppp_projects/tuguegarao-city-septage-management-project/,,Php 110 Million,Unsolicited,Joint Venture,"Envirokonsult Equipment and Services, Inc.",For competitive challenge,25 years,,,,,,,,,,,,,,
73,Quezon City No Contact Apprehension Program,NATIONAL CAPITAL REGION,Information Technology,Under Pre-Construction,Quezon City Local Government,https://ppp.gov.ph/ppp_projects/quezon-city-no-contact-apprehension-program/,,Php 0.05 Billion,Unsolicited,Joint Venture Agreement (JVA),,"Notice of Award (NOA) issued on January 19, 2021",,,,,,"Qpax Traffic Systems, Inc.",,,,,,,,,
74,General Santos City Sanitary Landfill Project,REGION XII - SOCCSKSARGEN,Environmental,Unsolicited Proposal Under Initial Evaluation by Implementing Agency,City Government of General Santos,https://ppp.gov.ph/ppp_projects/general-santos-city-sanitary-landfill-project/,,Php 100 Million,Unsolicited,"Contractual Joint Venture, LGU JV Code","East Asia Solutions Technologies Corporation, Sheng Tai Energy Technology Company, and Dr. Lin Shing-Chou",Under competitive challenge,25 years,,,,,,,,,,,,,,
75,Bataan Bunker Building at the Capitol,REGION III - CENTRAL LUZON,Property Development,"Operational,Awarded",Provincial Government of Bataan,https://ppp.gov.ph/ppp_projects/bataan-bunker-building-at-the-capitol/,,Php 2.40 Billion,Unsolicited,Joint Venture,Alloy MTD Philippines,Operational,25 years,,,,,,,,,,,,,,
76,Operation & Maintenance of the Francisco B. Reyes Airport and the New Busuanga Airport,REGION IV-B - MIMAROPA,"Transportation,Airport",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/operation-maintenance-of-the-francisco-b-reyes-airport-and-the-new-busuanga-airport/,,Php 1.35 Billion,Unsolicited,TBD,,For approval of relevant government bodies,,,,,,,Udenna Infrastructure Corporation,,,,,,,,
77,"Development, Operation and Management of Bacolod-Silay Airport",REGION VI - WESTERN VISAYAS,"Transportation,Airport",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/development-operation-and-management-of-bacolod-silay-airport/,,,Unsolicited,.,,For approval of relevant government bodies,,,Php 12.12 Billion,,,,Udenna Infrastructure Corporation,,,,,,,,
78,Mariveles Mental Wellness Center,REGION III - CENTRAL LUZON,Property Development,Projects under Development,,https://ppp.gov.ph/ppp_projects/mariveles-mental-wellness-center-multi-level-parking-and-dormitory-building/,,TBD,Solicited,TBD,,Under development,TBD,,,,,,,,,,,,,,
79,Hermosa Sanitary Landfill,,Solid Waste Management,"Operational,Awarded","Municipality of Hermosa, Bataan",https://ppp.gov.ph/ppp_projects/hermosa-sanitary-landfill/,,-,Unsolicited,Rehabilitate-Operate-Transfer (ROT),Econest Waste Management Corp.,Operational,20 years,,,,,,,,,,,,,,
80,Establishment and Operation of the San Simon Waterworks System,REGION III - CENTRAL LUZON,Water & Sanitation,"Operational,Awarded","Municipality of San Simon, Pampanga",https://ppp.gov.ph/ppp_projects/establishment-and-operation-of-the-san-simon-waterworks-system/,,-,Unsolicited,Memorandum of Agreement,"Balibago Waterworks System, Inc.",Operational,35 years,,,,,,,,,,,,,,
81,Navotas Diesel Power Barge 1 & 2,NATIONAL CAPITAL REGION,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/navotas-diesel-power-barge-1-2/,,USD 110.00 Million,Solicited,Build-Own-Operate (BOO),Van Der Horst Hongkong Ltd.,Concluded,5 Years,,,,,,,,,,,,,,
82,Passi City Water Supply and Distribution System,REGION VI - WESTERN VISAYAS,Water & Sanitation,"Operational,Awarded",Local Government of Passi City,https://ppp.gov.ph/ppp_projects/passi-city-water-supply-and-distribution-system/,,-,Solicited,Memorandum of Agreement,"Balibago Waterworks System, Inc.",Operational,35 years,,,,,,,,,,,,,,
83,Passi City Socialized Housing Project,REGION VI - WESTERN VISAYAS,"Property Development,Socialized Housing","Operational,Awarded",Local Government of Passi City,https://ppp.gov.ph/ppp_projects/passi-city-socialized-housing-project/,,-,Solicited,Memorandum of Agreement,"Property Company of Friends, Inc.",Operational,25 years,,,,,,,,,,,,,,
84,New Clark City National  Government Administrative Center (NCC NGAC) Phase 1,REGION III - CENTRAL LUZON,Property Development,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/new-clark-city-national-government-administrative-center-ncc-ngac/,,Php 23.16 Billion,Unsolicited,Joint Venture (RA 7227-Bases Conversion and Development Act),MTD Capital Berhad,"Operational. Construction was completed on October 15, 2019.",25 years,,,,,,,,,,,,,,
85,Operation and Maintenance with Improvement and Expansion Arrangement of Iloilo Commercial Port Complex and Port of Dumangas Project,REGION VI - WESTERN VISAYAS,"Transportation,Port",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/iloilo-commercial-port-complex-and-port-of-dumangas-development-project/,,,Unsolicited,BOT,"International Container Terminal Services, Inc. (ICTSI)",For Approval of Relevant Government Bodies,25 years,,12.34 Billion,,,,,,,,,,,,
86,Bislig City Bulk Water Supply and Septage Project,CARAGA,Water & Sanitation,Projects under Development,Bislig City Water District,https://ppp.gov.ph/ppp_projects/bislig-city-bulk-water-supply-and-septage-project/,,,Solicited,Joint Venture (under the 2013 Revised NEDA JV Guidelines) or PPP variants under the Build-Operate-Transfer Law (to be finalized),,Under development,TBD,,TBD,,,,,,,,,,,,
87,North Luzon Express Terminal (NLET) Project,REGION III - CENTRAL LUZON,"Transportation,Transport Terminal",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/north-luzon-express-terminal-nlet-project/,,,Unsolicited,Build-Own-Operate (BOO),"North Luzon Express Terminal, Inc. Consortium",For approval of relevant government bodies,35 years,,Php 6.82 Billion,,,,,,,,,,,,
88,Cebu Monorail Transit System Project,REGION VII - CENTRAL VISAYAS,"Transportation,Rail",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/cebu-monorail-transit-system-project/,,,Unsolicited,TBD,,For approval of relevant government bodies,TBD,,Php 79.61 Billion,,,,Udenna Infrastructure Corporation,,,,,,,,
89,Development of the Former Manila Seedling Site,NATIONAL CAPITAL REGION,Property Development,For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/development-former-manila-seedling-site/,,,Unsolicited,Build-Operate-Transfer (BOT),"Filinvest Land, Inc. (FLI)",For approval of relevant government bodies,25 years,,Php 45.15 Billion,,,,,,,,,,,,
90,Quezon City Footbridge Development Project,NATIONAL CAPITAL REGION,Property Development,Unsolicited Proposal Under Initial Evaluation by Implementing Agency,Quezon City Government,https://ppp.gov.ph/ppp_projects/footbridge-development-project-quezon-city/,,,Unsolicited,Joint Venture,"Ecobridges Ads, Inc.",Under initial evaluation by the implementing agency,TBD,,Php 70 Million,,,,,,,,,,,,
91,Tarlac-Pangasinan – La Union Expressway (TPLEX) Extension Project,REGION III - CENTRAL LUZON,Road,For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/tarlac-pangasinan-la-union-expressway-tplex-extension-project/,,,Unsolicited,-,San Miguel Holdings Corporation (SMHC),For approval of relevant government bodies,-,,Php 23.99 Billion,,,,,,,,,,,,
92,MRT 7 Katipunan Spur Line Project,REGION IV-A - CALABARZONNATIONAL CAPITAL REGION,"Transportation,Rail",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/mrt-7-katipunan-spur-line/,,,Unsolicited,Build-Operate-Transfer (BOT),San Miguel Holdings Corp (SMHC),For approval of relevant government bodies,30 years,,PhP 107 Billion,,,,,,,,,,,,
93,MRT 7 Airport Access-North Line Project,NATIONAL CAPITAL REGION,"Transportation,Rail",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/mrt-7-airport-access-north-line/,,,Unsolicited,Build-Operate-Transfer (BOT),San Miguel Holdings Corp (SMHC),For approval of relevant government bodies,30 years,,PhP 130.90 Billion,,,,,,,,,,,,
94,Rizal Park Western Section Development Project,NATIONAL CAPITAL REGION,Property Development,Projects under Development,,https://ppp.gov.ph/ppp_projects/rizal-park-western-section-development-project/,,,Solicited,Joint-Venture,,Development Stage - Project Conceptualization,TBD,,TBD,,,,,,,,,,,,
95,Ormoc City Water Supply System Project,REGION VIII - EASTERN VISAYAS,Water & Sanitation,Projects under Development,,https://ppp.gov.ph/ppp_projects/ormoc-city-water-supply-system-project/,,,Solicited,TBD,,Under development,TBD,,TBD,,,,,,,,,,,,
96,Iloilo City Slaughterhouse Project,REGION VI - WESTERN VISAYAS,Agriculture/Food Security,Projects under Procurement,,https://ppp.gov.ph/ppp_projects/iloilo-city-slaughterhouse-project/,,,Solicited,Joint Venture,,Under procurement,25 years,,PhP 139.35 Million,,,,,,,,,,,,
97,Iloilo City Central and Terminal Public Markets,REGION VI - WESTERN VISAYAS,Agriculture/Food Security,Projects under Development,,https://ppp.gov.ph/ppp_projects/iloilo-city-central-and-terminal-public-markets/,,,Solicited,TBD,,Development Stage - Undergoing Studies,TBD,,TBD,,,,,,,,,,,,
98,"Improvement, Operation, and Maintenance of Kennon Road Project",CAR REGION - CORDILLERA ADMINISTRATIVE REGION,Road,Projects under Development,,https://ppp.gov.ph/ppp_projects/improvement-and-operation-maintenance-of-kennon-road-and-marcos-highway-dpwh/,,,Solicited,TBD,,Under development - Project Conceptualization,TBD,,To be determined,,,,,,,,,,,,
99,Lumbo Spring Bulk Water Supply Project,REGION IV-A - CALABARZON,Water & Sanitation,Under Pre-Construction,,https://ppp.gov.ph/ppp_projects/lumbo-bulk-water-supply-project/,,,Solicited,Joint Venture (JV) Agreement,,Ongoing pre-construction activities,25 years,,Php 105 Million,,,,,,,,,,,,
100,Development and Management of the Club Intramuros Golf Course,NATIONAL CAPITAL REGION,Tourism,Projects under Procurement,,https://ppp.gov.ph/ppp_projects/development-and-management-of-the-club-intramuros-golf-course/,,,Solicited,Joint Venture,,Under procurement - Pre-qualifications of bidders,25 years,,Php 0.25 Billion,,,,,,,,,,,,
101,Balicasag Island Dive Resort (BIDR) Project,REGION VII - CENTRAL VISAYAS,Tourism,Projects under Procurement,,https://ppp.gov.ph/ppp_projects/balicasag-island-dive-resort/,,,Solicited,Joint Venture,,Under procurement.,25 years,,Php 0.11 Billion,,,,,,,,,,,,
102,UP Los Baños (UPLB) Agro-Industrial Information and Technology Parks Project,REGION IV-A - CALABARZON,"Property Development,Agro-Industrial",Projects under Development,,https://ppp.gov.ph/ppp_projects/up-los-banos-agro-industrial-information-and-technology-parks/,,,Solicited,TBD,,Development Stage - Undergoing Studies,,,TBD,,,,,,,,,,,,
103,Baguio General Hospital Medical Center (BGHMC) Renal Center Building Project,CAR REGION - CORDILLERA ADMINISTRATIVE REGION,Hospitals & Healthcare,For Approval of Relevant Government Bodies,Baguio General Hospital and Medical Center and Department of Health,https://ppp.gov.ph/ppp_projects/bghmc-renal-center-building-project/,,,Solicited,TBD,,For approval of relevant government bodies,,,Php 0.489 Billion,,,,,,,,,,,,
104,Cagayan Valley Medical Center (CVMC) Hemodialysis Center Project,REGION II - CAGAYAN VALLEY,Hospitals & Healthcare,For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/cagayan-valley-medical-center-hemodialysis-unit/,,,TBD,TBD,,For approval of relevant government bodies,,,Php 0.469 Billion,,,,,,,,,,,,
105,"Upgrade, Expansion,Operations and Maintenance of Laguindingan Airport",REGION X - NORTHERN MINDANAO,"Transportation,Airport",For Approval of Relevant Government Bodies,Civil Aviation Authority of the Philippines (CAAP),https://ppp.gov.ph/ppp_projects/upgrade-expansionoperations-and-maintenance-of-laguindingan-airport/,,,Unsolicited,Operate-Add-and-Transfer (OAT),,For approval of relevant government bodies,35 years,,Php 45.75,,,,,,,,,,,,
106,"Development, Operations and Maintenance of General Santos Port",REGION XII - SOCCSKSARGEN,"Transportation,Port",Unsolicited Proposal Under Initial Evaluation by Implementing Agency,,https://ppp.gov.ph/ppp_projects/development-operations-and-maintenance-of-general-santos-port/,,,Unsolicited,BOT variant (TBD),Kudos Trucking Corp,Under initial evaluation by Implementing agency,25 years,,Php 5.2 Billion,,,,,,,,,,,,
107,New Bohol International Airport Project,REGION VII - CENTRAL VISAYAS,"Transportation,Airport",For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/new-bohol-international-airport-panglao/,,Php19.75 Billion,Unsolicited,.,"Aboitiz InfraCapital, Inc.",For approval of relevant government bodies,35 years,,,,,,,,,,,,,,
108,"Unsolicited Build-Transfer-Operate-Maintain (BTOM) Proposal for the Modified Light Rail Transit (LRT) 6, Phase 1",REGION IV-A - CALABARZON,"Transportation,Rail",For Approval of Relevant Government Bodies,Department of Transporation (DOTr),https://ppp.gov.ph/ppp_projects/lrt-6-cavite-line-a/,,,Unsolicited,BOT,,For approval of relevant government bodies,,,Php 73.24 Billion,,,,Prime Asset Ventues Inc. (PAVI),,,,,,,,
109,UP Philippine General Hospital (PGH) Manila Cancer Center Project,NATIONAL CAPITAL REGION,Hospitals & Healthcare,For Approval of Relevant Government Bodies,,https://ppp.gov.ph/ppp_projects/pgh-cancer-center/,,,Solicited,Build-Transfer-Operate (BTO),,Ongoing evaluation by Approving Authorities,30 years,,Php 4. 58 Billion (Nominal),,,,,,,,,,,,
110,Leyte-Cebu Geothermal Power Plant,REGION VIII - EASTERN VISAYAS,Power,"Completed/Concluded,Awarded",Philippine National Oil Company – Energy Development Corporation (PNOC-EDC),https://ppp.gov.ph/ppp_projects/leyte-cebu-geothermal-power-plant/,,USD 305.53 Million,Solicited,Build-Operate-Transfer (BOT),Magma Power Company,Concluded,10 years,,,,,,,,,,,,,,
111,Caticlan Airport Development Project,REGION VI - WESTERN VISAYAS,"Transportation,Airport","Under Construction,Awarded",,https://ppp.gov.ph/ppp_projects/caticlan-airport-development-project/,,Php 2.506 Billion/USD 48.83 Million,Unsolicited,Contract-Add-Operate-Transfer (CAOT),Trans Aire Development Holdings Corporation,Phase 1A - completed and operational,25 years (2012-2037),"As of August 2021, construction still stands 54.19% complete.",,,,,,,,,,,,,
112,Bohol Provincial Waterworks System Project,REGION VII - CENTRAL VISAYAS,Water & Sanitation,"Operational,Awarded",Provincial Government of Bohol,https://ppp.gov.ph/ppp_projects/bohol-provincial-waterworks-system-project/,,$ 14.4 Million,Unsolicited,Rehabilitate-Own-Operate-Maintain (ROOM),Bohol Water Utilities Inc.,Operational,20 Years,,,,,,,,,,,,,,
113,Bohol Provincial Electric System Project,REGION VII - CENTRAL VISAYAS,Power,"Operational,Awarded",Provincial Government of Bohol,https://ppp.gov.ph/ppp_projects/bohol-provincial-electric-system-project/,,$ 5.0 Milion,Solicited,Rehabilitate-Own-Operate-Maintain (ROOM),Bohol Light Company Inc.,Operational,20 Years,,,,,,,,,,,,,,
114,Tagum Water District Bulk Water Supply Project,REGION XI - DAVAO,Water & Sanitation,"Operational,Awarded",Tagum Water District,https://ppp.gov.ph/ppp_projects/tagum-water-district-bulk-water-supply-project/,,Php 527.00 Million,Unsolicited,Joint Venture,,Operational,15 Years,,,,,,Davao Norte Water,,,,,,,,
115,City of Koronadal Information and Communication Technology Project,REGION XII - SOCCSKSARGEN,Information Technology,"Completed/Concluded,Awarded",Local Government of Koronadal City,https://ppp.gov.ph/ppp_projects/city-of-koronadal-information-and-communication-technology-project/,,Php 26.74 Million,Solicited,Build-Operate-and-Transfer (BOT),"Geodata Solutions, Inc.",Concluded,5 years,,,,,,,,,,,,,,
116,Butuan City Water District JVA for Water Supply Development and Water Treatment,REGION XIII - CARAGA,Water & Sanitation,"Operational,Awarded",Butuan City Water District (BCWD),https://ppp.gov.ph/ppp_projects/butuan-city-water-district-jva-for-water-supply-development-and-water-treatment/,,,Unsolicited,Joint Venture,Twin Peak Hydro Resources Corp. & Equi-Parco Construction Co.,Operational,25 years,,,,,,,,,,,,,,
117,Iloilo-Guimaras Ferry Terminal Complex Project,REGION VI - WESTERN VISAYAS,"Transportation,Port","Operational,Awarded",Local Government of Iloilo City,https://ppp.gov.ph/ppp_projects/iloilo-guimaras-ferry-terminal-complex/,,Php 126 Million,Unsolicited,Joint Venture,Double Dragon Properties Corporation,Operational,25 years,,,,,,,,,,,,,,
118,Iligan City Diesel Plant II (40 MW Bunker-Fired Diesel Generating Power Station),REGION X - NORTHERN MINDANAO,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/iligan-2-40mw-bunker-fired-diesel-power-plant/,,USD 40.00 Million,Solicited,Build-Operate and Transfer (BOT),,Concluded,12 Years,,,,,,,Northern Mindanao Power Corporation,,,,,,,
119,Clark Water Supply and Sewerage Project,REGION III - CENTRAL LUZON,Water & Sanitation,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/clark-water-supply-and-sewerage-project/,,Php 2.40 Billion,Solicited,Concession Agreement,Clark Water Corporation (CWC),Operational,40 years,,,,,,,,,,,,,,
120,Zamboanga City Water District Non-Revenue Water Reduction Project,REGION IX - ZAMBOANGA PENINSULA,Water,"Operational,Awarded",Zamboanga City Water District (ZCWD),https://ppp.gov.ph/ppp_projects/zamboanga-city-water-district-non-revenue-water-reduction-project/,,-,Unsolicited,Joint Venture,,Operational,10 years,,,,,,Zamboanga Water Company Inc.,,,,,,,,
121,"South-Luzon Expressway (SLEX) Project – Toll Roads 1, 2, 3, and 4 (TRs 1-4)",REGION IV-A - CALABARZONNATIONAL CAPITAL REGION,Road,"Operational,Awarded",Toll Regulatory Board (TRB),https://ppp.gov.ph/ppp_projects/south-luzon-tollway-extension/,,"Php 21.600. Billion (Php 8,5 Billion [Toll Roads 1-3] and 13.1 Billion [Toll Road 4 )",Unsolicited,Supplemental Toll Operation Agreement,South Luzon Tollway Corporation (SLTC),Toll Roads 1-3: Operational,30 years,"Right-of-Way Acquisition Status: As of October 2021, 94% Notices served, and 97.96% are being appraised, and 38.30% have unconditional Permit to Enters (PTEs) for the whole alignment.",,,,,,,,,,,,,
122,Cabanatuan City Water District Joint Venture,REGION III - CENTRAL LUZON,Water & Sanitation,"Operational,Awarded",Cabanatuan City Water District,https://ppp.gov.ph/ppp_projects/cabanatuan-city-water-district-joint-venture/,,PhP 5030.2 Million,Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,25 years,,,,,,,,,,,,,,
123,Zamboanga Diesel Power Plant Project,REGION IX - ZAMBOANGA PENINSULA,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/zamboanga-100-mw-bunker-c-fired-diesel-power-plant-project/,,USD 110.00 Million,Solicited,Build-Own-Operate (BOO),Western Mindanao Power Corporation,Concluded,18 Years,,,,,,,,,,,,,,
124,Benguet Province Mini Hydroelectric Power Plant,CAR REGION - CORDILLERA ADMINISTRATIVE REGION,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/benguet-province-mini-hydroelectric-power-plant/,,USD 22.00 Million,Solicited,Build-Own-Operate (BOO);  Electric Power Supply Agreement (EPSA),Hydro Electric Development Corporation (HEDCOR) Phil’s.,Concluded,25 Years,,,,,,,,,,,,,,
125,Southern Tagalog Arterial Road (STAR) Project,REGION IV-A - CALABARZON,Road,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/southern-tagalog-arterial-road-star-project/,,PhP 2.32 Billion,Solicited,Build-Transfer-and-Operate (BTO),STAR Infrastructure Development Corporation,Operational,30 Years,,,,,,,,,,,,,,
126,Mindanao I Geothermal Plant,REGION XII - SOCCSKSARGEN,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/mindanao-i-geothermal-plant/,,USD 79.57 Million,Solicited,Build-Operate-and-Transfer (BOT),Marubeni - Oxbow Consortium,Concluded,5 years,,,,,,,,,,,,,,
127,Valenzuela City Town Center Project,NATIONAL CAPITAL REGION,Property Development,"Operational,Awarded",Local Government of Valenzuela City,https://ppp.gov.ph/ppp_projects/valenzuela-city-town-center-project/,,PHP 170.00 Million,Unsolicited,Joint-Venture Agreement (JVA),,Operational,25 years,,,,,,"Megabuild JPG Development, Inc.",,,,,,,,
128,Leyte-Luzon Geothermal Power Plant (Leyte Geothermal Power Optimization),REGION VIII - EASTERN VISAYAS,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/leyte-luzon-geothermal-power-plant-leyte-geothermal-power-optimization/,,USD 46.00 Million,Solicited,Build-Operate-Transfer (BOT);  Power Purchase Agreement (PPA),"Ormat, Inc. (USA)",Concluded,10 years,,,,,,,,,,,,,,
129,Sual Coal-Fired Thermal Power Plant Project,REGION I - ILOCOS,Power,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/sual-coal-fired-thermal-power-plant-project/,,"USD 1,200.00 Million",Solicited,Build-Operate-Transfer (BOT),Pangasinan Electric Corporation (CEPA Philippines),Operational,25 years,,,,,,,,,,,,,,
130,Caliraya-Botocan-Kalayaan (CBK) Power Plant,REGION IV-A - CALABARZON,Power,"Operational,Awarded",National Power Corporation (NPC),https://ppp.gov.ph/ppp_projects/caliraya-botocan-kalayaan-cbk-power-plant/,,USD 450.00 Million,Unsolicited,Build-Rehabilitate-Operate-Transfer (BROT),,Operational,25 years (2001-2026),,,,,,,CBK Power Corporation,,,,,,,
131,Improving Philpost’s Financial and Operational State Through ICT/E-Commerce Opportunities Project,REGION I - ILOCOSREGION II - CAGAYAN VALLEYREGION III - CENTRAL LUZONREGION IV-A - CALABARZONREGION IV-B - MIMAROPAREGION V - BICOLREGION VI - WESTERN VISAYASREGION VII - CENTRAL VISAYASREGION VIII - EASTERN VISAYASREGION IX - ZAMBOANGA PENINSULAREGION X - NORTHERN MINDANAOREGION XI - DAVAOREGION XII - SOCCSKSARGENREGION XIII - CARAGAARMM REGION - AUTONOMOUS REGION IN MUSLIM MINDANAOCAR REGION - CORDILLERA ADMINISTRATIVE REGIONNATIONAL CAPITAL REGION,Information Technology,"Completed/Concluded,Awarded",Philippine Postal Corporation,https://ppp.gov.ph/ppp_projects/improving-philposts-financial-and-operational-state-through-ict-e-commerce-opportunities-project/,,USD 64.0 Million,Unsolicited,Build-Lease-and-Transfer (BLT),ROA System Co. Ltd. (ROA),Concluded,9 years,,,,,,,,,,,,,,
132,Naga Thermal Plant Complex Project,REGION VII - CENTRAL VISAYAS,Power,"Completed/Concluded,Awarded",,https://ppp.gov.ph/ppp_projects/naga-thermal-plant-complex-project/,,USD 60.00 Million,Solicited,Rehabilitate-Operate-Maintain (ROM),Consortium of :,Concluded,15 Years,,,,,,,,,,,,,,
